train,2,24_3_crop_1,15
train,2,31_2_crop_4,39
train,2,10_3_crop_1,43
train,2,27_3_crop_3,59
train,2,13_1_crop_2,40
train,2,27_1_crop_2,144
train,2,20_1_crop_2,27
train,2,10_3_crop_4,16
train,2,21_2_crop_3,28
train,2,31_2_crop_7,14
train,2,11_3_crop_3,34
train,2,21_1_crop_3,51
train,2,18_1_crop_4,25
train,2,30_1_crop_6,51
train,2,25_3_crop_1,53
train,2,15_3_crop_3,83
train,2,25_3_crop_9,105
train,2,24_3_crop_2,25
train,2,21_2_crop_6,193
train,2,32_2_crop_2,15
train,2,2_2_crop_13,26
train,2,16_2_crop_2,42
train,2,23_3_crop_2,60
train,2,1_3_crop_3,15
train,2,38_1_crop_1,14
train,2,19_3_crop_11,25
train,2,31_1_crop_4,44
train,2,23_3_crop_3,108
train,2,21_3_crop_1,9
train,2,32_2_crop_9,30
train,2,26_2_crop_1,86
train,2,32_3_crop_4,31
train,2,12_2_crop_1,84
train,2,11_2_crop_4,110
train,2,20_3_crop_3,74
train,2,26_3_crop_7,46
train,2,25_2_crop_4,24
train,2,16_2_crop_4,30
train,2,31_2_crop_1,38
train,2,10_3_crop_7,45
train,2,13_2_crop_1,15
train,2,17_2_crop_7,7
train,2,1_2_crop_3,29
train,2,2_2_crop_10,9
train,2,17_3_crop_8,29
train,2,31_3_crop_4,27
train,2,16_3_crop_10,157
train,2,7_1_crop_4,70
train,2,12_2_crop_2,22
train,2,30_1_crop_4,60
train,2,38_1_crop_8,70
train,2,19_3_crop_7,90
train,2,1_3_crop_5,237
train,2,25_2_crop_2,46
train,2,32_3_crop_6,36
train,2,6_1_crop_2,39
train,2,29_3_crop_6,130
train,2,25_1_crop_3,60
train,2,23_1_crop_3,156
train,2,11_1_crop_6,54
train,2,24_1_crop_5,9
train,2,18_2_crop_1,21
train,2,25_3_crop_2,75
train,2,11_2_crop_8,32
train,2,26_1_crop_1,107
train,2,26_1_crop_3,20
train,2,14_1_crop_2,10
train,2,16_1_crop_4,112
train,2,22_3_crop_1,155
train,2,32_1_crop_4,18
train,2,27_3_crop_5,25
train,2,28_1_crop_6,58
train,2,32_2_crop_7,88
train,2,1_3_crop_7,258
train,2,3_3_crop_6,83
train,2,29_3_crop_1,101
train,2,11_2_crop_7,386
train,2,17_2_crop_3,23
train,2,32_3_crop_7,94
train,2,1_2_crop_1,218
train,2,31_3_crop_1,83
train,2,12_3_crop_6,89
train,2,27_3_crop_1,113
train,2,30_3_crop_5,18
train,2,11_3_crop_7,23
train,2,32_2_crop_6,26
train,2,2_3_crop_9,27
